name,win_percentage
Penn State,1.0
Ohio State,0.947
Oklahoma State,0.938
Iowa State,0.846
SIU Edwardsville,0.8
NC State,0.789
Columbia,0.786
Virginia Tech,0.786
Oregon State,0.778
Pittsburgh,0.733
Rutgers,0.722
Lock Haven,0.722
Wisconsin,0.706
Illinois,0.706
Minnesota,0.688
South Dakota State,0.688
Nebraska,0.684
Rider,0.667
Iowa,0.667
Franklin & Marshall,0.667
West Virginia,0.667
Drexel,0.65
Indiana,0.643
Binghamton,0.636
Pennsylvania,0.636
Lehigh,0.611
Appalachian State,0.6
Oklahoma,0.6
Michigan,0.6
Central Michigan,0.588
Chattanooga,0.583
Wyoming,0.583
North Carolina,0.583
Northern Iowa,0.579
Cornell,0.562
Purdue,0.562
The Citadel,0.562
Northern Illinois,0.562
Navy,0.545
Stanford,0.538
Clarion,0.538
George Mason,0.538
Missouri,0.529
Harvard,0.5
Army West Point,0.5
American,0.471
Virginia,0.467
Bellarmine,0.467
Edinboro,0.455
Cal Poly,0.444
North Dakota State,0.438
Bucknell,0.4
Kent State,0.4
Utah Valley,0.385
Ohio,0.375
Maryland,0.357
Brown,0.357
Air Force,0.333
Gardner-Webb,0.316
Arizona State,0.312
VMI,0.308
Michigan State,0.286
Davidson,0.278
Buffalo,0.267
Princeton,0.267
Northwestern,0.25
Northern Colorado,0.231
Little Rock,0.231
Duke,0.222
Bloomsburg,0.217
California Baptist,0.214
Sacred Heart,0.182
Hofstra,0.167
CSU Bakersfield,0.077
Morgan State,0.059
Campbell,0.05
Presbyterian,0.0
LIU,0.0
