,team,result,count
0,Penn State,Wins,15
1,Ohio State,Wins,18
2,Oklahoma State,Wins,15
3,Iowa State,Wins,11
4,SIU Edwardsville,Wins,8
5,NC State,Wins,15
6,Columbia,Wins,11
7,Virginia Tech,Wins,11
8,Oregon State,Wins,7
9,Pittsburgh,Wins,11
10,Rutgers,Wins,13
11,Lock Haven,Wins,13
12,Wisconsin,Wins,12
13,Illinois,Wins,12
14,Minnesota,Wins,11
15,South Dakota State,Wins,11
16,Nebraska,Wins,13
17,Rider,Wins,12
18,Iowa,Wins,12
19,Franklin & Marshall,Wins,6
20,West Virginia,Wins,10
21,Drexel,Wins,13
22,Indiana,Wins,9
23,Binghamton,Wins,7
24,Pennsylvania,Wins,7
25,Lehigh,Wins,11
26,Appalachian State,Wins,9
27,Oklahoma,Wins,9
28,Michigan,Wins,9
29,Central Michigan,Wins,10
30,Chattanooga,Wins,7
31,Wyoming,Wins,7
32,North Carolina,Wins,7
33,Northern Iowa,Wins,11
34,Cornell,Wins,9
35,Purdue,Wins,9
36,The Citadel,Wins,9
37,Northern Illinois,Wins,9
38,Navy,Wins,6
39,Stanford,Wins,7
40,Clarion,Wins,7
41,George Mason,Wins,7
42,Missouri,Wins,9
43,Harvard,Wins,6
44,Army West Point,Wins,5
45,American,Wins,8
46,Virginia,Wins,7
47,Bellarmine,Wins,7
48,Edinboro,Wins,5
49,Cal Poly,Wins,4
50,North Dakota State,Wins,7
51,Bucknell,Wins,8
52,Kent State,Wins,6
53,Utah Valley,Wins,5
54,Ohio,Wins,6
55,Maryland,Wins,5
56,Brown,Wins,5
57,Air Force,Wins,4
58,Gardner-Webb,Wins,6
59,Arizona State,Wins,5
60,VMI,Wins,4
61,Michigan State,Wins,4
62,Davidson,Wins,5
63,Buffalo,Wins,4
64,Princeton,Wins,4
65,Northwestern,Wins,3
66,Northern Colorado,Wins,3
67,Little Rock,Wins,3
68,Duke,Wins,4
69,Bloomsburg,Wins,5
70,California Baptist,Wins,3
71,Sacred Heart,Wins,2
72,Hofstra,Wins,3
73,CSU Bakersfield,Wins,1
74,Morgan State,Wins,1
75,Campbell,Wins,1
76,Presbyterian,Wins,0
77,LIU,Wins,0
78,Penn State,Losses,0
79,Ohio State,Losses,1
80,Oklahoma State,Losses,1
81,Iowa State,Losses,2
82,SIU Edwardsville,Losses,2
83,NC State,Losses,4
84,Columbia,Losses,3
85,Virginia Tech,Losses,3
86,Oregon State,Losses,2
87,Pittsburgh,Losses,4
88,Rutgers,Losses,5
89,Lock Haven,Losses,5
90,Wisconsin,Losses,5
91,Illinois,Losses,5
92,Minnesota,Losses,5
93,South Dakota State,Losses,5
94,Nebraska,Losses,6
95,Rider,Losses,6
96,Iowa,Losses,6
97,Franklin & Marshall,Losses,3
98,West Virginia,Losses,5
99,Drexel,Losses,7
100,Indiana,Losses,5
101,Binghamton,Losses,4
102,Pennsylvania,Losses,4
103,Lehigh,Losses,7
104,Appalachian State,Losses,6
105,Oklahoma,Losses,6
106,Michigan,Losses,6
107,Central Michigan,Losses,7
108,Chattanooga,Losses,5
109,Wyoming,Losses,5
110,North Carolina,Losses,5
111,Northern Iowa,Losses,8
112,Cornell,Losses,7
113,Purdue,Losses,7
114,The Citadel,Losses,7
115,Northern Illinois,Losses,7
116,Navy,Losses,5
117,Stanford,Losses,6
118,Clarion,Losses,6
119,George Mason,Losses,6
120,Missouri,Losses,8
121,Harvard,Losses,6
122,Army West Point,Losses,5
123,American,Losses,9
124,Virginia,Losses,8
125,Bellarmine,Losses,8
126,Edinboro,Losses,6
127,Cal Poly,Losses,5
128,North Dakota State,Losses,9
129,Bucknell,Losses,12
130,Kent State,Losses,9
131,Utah Valley,Losses,8
132,Ohio,Losses,10
133,Maryland,Losses,9
134,Brown,Losses,9
135,Air Force,Losses,8
136,Gardner-Webb,Losses,13
137,Arizona State,Losses,11
138,VMI,Losses,9
139,Michigan State,Losses,10
140,Davidson,Losses,13
141,Buffalo,Losses,11
142,Princeton,Losses,11
143,Northwestern,Losses,9
144,Northern Colorado,Losses,10
145,Little Rock,Losses,10
146,Duke,Losses,14
147,Bloomsburg,Losses,18
148,California Baptist,Losses,11
149,Sacred Heart,Losses,9
150,Hofstra,Losses,15
151,CSU Bakersfield,Losses,12
152,Morgan State,Losses,16
153,Campbell,Losses,19
154,Presbyterian,Losses,14
155,LIU,Losses,16
