Team,Average Wins Per Dual,Number of Duals,Total Dual Wins
Penn State,9.26667,15,139
Oklahoma State,7.4375,16,119
Ohio State,7.21053,19,137
Iowa State,6.76923,13,88
Columbia,6.57143,14,92
Nebraska,6.47368,19,123
SIU Edwardsville,6.4,10,64
Rutgers,6.33333,18,114
NC State,6.31579,19,120
South Dakota State,6.3125,16,101
Lock Haven,6.27778,18,113
Oregon State,6.22222,9,56
Pennsylvania,6.18182,11,68
Iowa,6.16667,18,111
Chattanooga,6.16667,12,74
Michigan,6.13333,15,92
Virginia Tech,6.07143,14,85
Pittsburgh,5.93333,15,89
Cornell,5.875,16,94
Navy,5.81818,11,64
Drexel,5.8,20,116
Appalachian State,5.8,15,87
Rider,5.77778,18,104
Illinois,5.76471,17,98
Wisconsin,5.76471,17,98
Binghamton,5.72727,11,63
Minnesota,5.625,16,90
Purdue,5.625,16,90
Stanford,5.46154,13,71
Bucknell,5.45,20,109
Franklin & Marshall,5.44444,9,49
Northern Iowa,5.42105,19,103
Wyoming,5.41667,12,65
North Carolina,5.41667,12,65
Missouri,5.41176,17,92
Central Michigan,5.35294,17,91
George Mason,5.30769,13,69
Edinboro,5.27273,11,58
Virginia,5.26667,15,79
Northern Illinois,5.25,16,84
Lehigh,5.22222,18,94
The Citadel,5.1875,16,83
West Virginia,5.06667,15,76
Oklahoma,5.0,15,75
Bellarmine,5.0,15,75
Clarion,4.92308,13,64
Army West Point,4.9,10,49
Ohio,4.8125,16,77
Indiana,4.71429,14,66
Utah Valley,4.61538,13,60
Harvard,4.58333,12,55
Arizona State,4.5625,16,73
Cal Poly,4.55556,9,41
American,4.47059,17,76
Brown,4.42857,14,62
North Dakota State,4.375,16,70
California Baptist,4.35714,14,61
Gardner-Webb,4.31579,19,82
Michigan State,4.07143,14,57
Maryland,4.07143,14,57
Princeton,4.0,15,60
Sacred Heart,4.0,11,44
Kent State,3.93333,15,59
Little Rock,3.92308,13,51
Air Force,3.91667,12,47
Hofstra,3.55556,18,64
Buffalo,3.53333,15,53
Northwestern,3.33333,12,40
Bloomsburg,3.26087,23,75
VMI,3.23077,13,42
Davidson,3.22222,18,58
Northern Colorado,3.15385,13,41
Duke,3.11111,18,56
Campbell,2.65,20,53
CSU Bakersfield,2.53846,13,33
LIU,1.875,16,30
Presbyterian,1.85714,14,26
Morgan State,1.82353,17,31
